"rbr","name","date","stars","review","lang","thumb","reply"
5505,"Ven L",2018-03-24,1," Does not support landscape mode, rendering it utterly unusable to me.","en",0,NA
5506,"A Google user",2018-04-17,5," Works out best route for real time traffic conditions","en",0,NA
5507,"twist karabo",2018-03-29,5," It's a very good app. Gets places you want to go to very fast.","en",0,NA
5508,"MURSHID CK",2018-04-01,5," Supper App i ever used.. And too much usefull and easy to use","en",0,NA
5509,"Bagus Rasuli bin Ahmad",2018-05-10,5," Cools offline map ever !!!","en",0,NA
5510,"Nasim Uddin Hayder",2018-05-16,4," Its good app but if some feature are added it will be great","en",0,NA
5511,"Nathan Beck",2018-03-08,5," I cant belive this is free","en",1,NA
5512,"Raz Hafizuddin",2018-03-19,2," I can't update the new maps..it would crush everytime I'm try to update maps","en",0,NA
5513,"MARIO SCICLUNA",2018-03-29,5," Great for a beta version. Better if it has speed cam warnings and altitude.","en",0,NA
5514,"Mark Scott",2018-03-06,4," Where is the Android Auto integration?","en",0,NA
5515,"Naresh Kumar",2018-03-14,1," Does not work","en",0,NA
5516,"Salim Raisi",2018-03-03,3," Near by is not showing anymore","en",0,NA
5517,"Francis Joshua Insigne",2018-04-09,5," GPS is sometimes slow","en",0,NA
5518,"Zunair Ahmad",2018-03-11,1," Please add the map of Pakistan","en",0,NA
5520,"Mina Wassef",2018-06-23,3," Pleasr provide adfree version","en",0,NA
5521,"nima bathaee",2018-03-17,5," The Best offline navigation app i have Tried till naw.","en",0,NA
5522,"Elvis Kombic",2018-03-30,5," Best offline Navigation, and free.. Great job developers!","en",0,NA
5523,"eljam iligan",2018-05-10,3," Not Accurate!","en",0,NA
5524,"A Google user",2018-05-16,5," this apps keep me help when im in travel..good job for this developer","en",0,NA
5525,"salem alkitani",2018-05-02,5," I extremely advice everyone to have this application , it's very useful","en",0,NA
5526,"James Linklater",2018-04-15,3," Needs Android Auto support then it would be damn near perfect","en",0,NA
5527,"A Google user",2018-06-27,5," Absolutely brilliant, offline mode is unrivaled","en",2,NA
5530,"farid pr",2018-07-28,2," Pls add iran map...i can't found it","en",0,NA
5532,"Der Kybernetiker",2018-05-05,5," Works without Google services. The very best maps app.","en",0,NA
5533,"Mohammad Kashkouli",2018-05-11,1," Why Iran map not exist?!!!","en",0,NA
5534,"Shantel Hutton",2018-03-16,5," Awesome app. Works offline which is perfect when you in a foreign country","en",0,NA
5535,"John Collier",2018-03-23,1," My Street is missing.... Renamed by apl","en",2,NA
5536,"Vasanth Godwin",2018-04-21,5," Nice map. It shows speed of vehicle also. Nokia maps","en",0,NA
5537,"Kate O",2018-04-21,3," Generally good but not possible to add an intermediate destination.","en",0,NA
5538,"A Google user",2018-12-11,5," It is so helpful for us...","en",1,NA
5540,"Najeeb Balushi",2018-03-27,5," A Liked Awesome app","en",1,NA
5541,"Ronald Phillips",2018-03-18,5," I think that this is a great way to get my directions fast","en",0,NA
5542,"Waleed Almahrami",2018-04-26,5," The collections not show...","en",0,NA
5543,"Vinod Dewangan",2018-04-29,5," Find now your next journey awesome app like it","en",0,NA
5544,"Charles Bailey",2018-04-18,4," Pretty good, but need to work with Android Auto.","en",0,NA
5545,"A Google user",2018-04-23,5," Up grade for goods","en",0,NA
5546,"Abdul Majeed",2018-05-01,5," Thank you for the app","en",0,NA
5547,"Khaled Eid",2018-07-24,4," Missing traffic information","en",0,NA
5548,"A Google user",2018-02-27,5," Perfect navigation app","en",2,NA
5549,"Ryan 45boy",2018-04-22,5," Good the Best GPS","en",2,NA
5550,"Dimo Ivanov",2018-04-14,5," Awesome navigation app. One of the best out there","en",0,NA
5552,"A Google user",2018-05-05,5," Best Offline Navigation App. Absolutely awesome!","en",0,NA
5554,"Abdirashid S",2018-04-17,5," Very good app easy to use with speed alert","en",0,NA
5555,"Veronica G.L",2018-05-01,5," Best off line maps! Really helpful.","en",0,NA
5556,"Michel Dufour",2018-05-11,4," App is great. Just waiting for Android Auto support.","en",0,NA
5557,"Rheva Stevian Resnawan",2018-04-18,5," Superb offline map support & extensive collections of POIs","en",0,NA
5558,"Nadir Atifi",2018-03-29,5," Great offline map very accurate love it.","en",0,NA
5559,"Murtaza Sakarwala",2018-03-28,5," I am very satisfied using this app.","en",0,NA
5560,"Peter Loomes",2018-04-30,5," Awesome app. It's just so good","en",0,NA
5562,"Praveen U",2018-04-21,1," Should improve to download smaller areas also","en",0,NA
5563,"Nikos Karaportis",2018-05-01,5," Most useful app for finding a place to go","en",0,NA
5565,"Mark Innes",2018-05-08,1," Waiting for GPS, but it never finds it, useless.","en",0,NA
5566,"Demeatra Hickmon",2018-03-19,5," Highly recommended!","en",1,NA
5567,"Benjie Reyes",2018-03-14,5," The best offline map ever!","en",0,NA
5569,"Ilko Ilchev",2018-04-17,5," Good impression. Maybe the best free app.","en",0,NA
5570,"Mpentozkhe Ntozakhe",2018-04-18,5," Accurate and reliable. No need for data","en",0,NA
5571,"Razaa Khan",2018-05-02,5," This app very useful..... Woooowww awesome.... I like this","en",0,NA
5572,"Premtim Qerimi",2018-03-12,5," One of the best aplication ever had.","en",0,NA
5573,"Bayron Vish",2018-03-12,5," It is really great","en",1,NA
5574,"Fashwath _07",2018-04-12,5," Good and useful app","en",1,NA
5575,"A Google user",2018-02-26,5," Great and easy to use","en",4,NA
5576,"A Google user",2018-04-12,5," Great offline possibilities","en",1,NA
5577,"A Google user",2018-03-20,5," Great app ever","en",1,NA
5578,"A Google user",2018-04-21,3," It's really good direction. 90%","en",0,NA
5579,"Waleed Bin Tahir",2018-04-24,1," No map for Pakistan, bad app","en",0,NA
5580,"Rashid Nuhash",2018-04-02,5," I am so impressed about it so lovely and so so good.","en",0,NA
5581,"jofin thomas balu",2018-05-12,5," Perfect app better than Google's app","en",0,NA
5583,"Shashank singh",2018-05-16,5," Its awesome and working without internet","en",0,NA
5584,"A Google user",2018-03-26,4," Great app. Needs landscape option to get 5 stars.","en",0,NA
5585,"Mohit",2018-06-24,5," Best offline maps and efficient storage","en",0,NA
5586,"A Google user",2018-03-31,5," Good App For Offline Navigation","en",0,NA
5587,"A Google user",2018-04-24,4," Way easier than gmaps!","en",0,NA
5590,"Veerabhadraiah Veerabhadra",2018-04-11,2," Nicely ,reach short minit place..","en",0,NA
5591,"Bongile Siphungo",2018-03-20,5," This is Worth it","en",0,NA
5592,"Zaheer u din Babar Iqbal",2019-02-13,1," old locations","en",0,NA
5595,"A Google user",2018-03-25,5," Good options and great display.","en",0,NA
5596,"Jan Ruben",2018-03-01,5," Very easy to use","en",3,NA
5597,"Janna Bowen",2018-04-02,5," Very useful. I'am very thankfull.","en",0,NA
5598,"Matt Walker",2018-05-11,5," Brilliant! responsive & accurate.","en",0,NA
5599,"Sharanu P Sharanu Pyati",2018-03-15,4," it was good offline app for navigation","en",0,NA
5600,"A Google user",2018-05-04,5," So far so good","en",0,NA
5601,"Khan Sahib",2018-05-02,5," Very easy much better","en",0,NA
5602,"EdwinChel Del Pilar",2018-05-21,4," Good navigation and user friendly","en",0,NA
5603,"Ayman Fadah",2018-04-10,5," Best navigation free app","en",0,NA
5604,"MR T",2018-05-02,5," really detailed and works offline","en",0,NA
5609,"Edward",2018-08-30,5," fantastic app..i love it","en",0,NA
5612,"Maxim GQ",2018-04-23,5," Good and easy application","en",0,NA
5613,"hemant sachdeva",2018-06-12,5," Great apps for maps","en",0,NA
5614,"Ken Tan",2018-04-01,5," love it so much","en",0,NA
5615,"A Google user",2018-03-31,5," Best GPS in the world","en",0,NA
5621,"zulkarnain bajoori",2018-04-04,4," Very useful","en",1,NA
5622,"Antho Sefini",2018-03-26,5," Highly recommended","en",1,NA
5642,"Marius Maravela",2018-04-28,5," Great Thanks","en",0,NA
5681,"someone anonymous",2018-02-20,4," The app is good but I have a compliant, the app keeps telling me there's no storage space for updates to the maps, so I installed all my Canadian maps in the provincial segments, hoping that it will know to update the provinces one by one thereby not having to download one massive chunk at a time, b...Full ReviewThe app is good but I have a compliant, the app keeps telling me there's no storage space for updates to the maps, so I installed all my Canadian maps in the provincial segments, hoping that it will know to update the provinces one by one thereby not having to download one massive chunk at a time, but it failed to do so, please consider making this possible so I can update my maps :)","en",17,NA
5682,"qtyqty4",2018-02-21,2," This update version open app slow, get accurate GPS slow, my location always show a big Green dot, when start navigation waiting GPS. Please solve this problem. Really love the here maps before in Windows phone. Thank you.","en",12,NA
5683,"Koushik Mondal",2018-02-20,2," When I'm searching a direction from Siliguri to Kolkata (Both city is in India), it's showing route through Bangladesh. When I search in Google Maps, the whole route is shown in India. We have many roads to go from Siliguri to Kolkata, then why it's showing route through another country???? Please m...Full ReviewWhen I'm searching a direction from Siliguri to Kolkata (Both city is in India), it's showing route through Bangladesh. When I search in Google Maps, the whole route is shown in India. We have many roads to go from Siliguri to Kolkata, then why it's showing route through another country???? Please make it correct as soon as possible. Thank you.","en",9,NA
5684,"Nix Pinter",2018-02-21,3," Will someone look at updating the services. Fuel stations, shops etc they've either changed their names or no longer at the location.","en",9,NA
5685,"A Google user",2018-02-21,5," Loved it for Indian roads.. perfect offline maps and very easy to use. Use it every time for voice directions..","en",7,NA
5686,"A Google user",2018-02-21,5," Great offline maps","en",5,NA
5688,"Andrew Richardson",2018-02-11,3," On opening my local area I found that many of the places of interest (Restaurants, Take Aways etc) were way out if date. For example the Police Station closed and moved at least 15 years ago. Many others were closed or changed names over 5 years ago. This gives me a low confidence feeling about the ...Full ReviewOn opening my local area I found that many of the places of interest (Restaurants, Take Aways etc) were way out if date. For example the Police Station closed and moved at least 15 years ago. Many others were closed or changed names over 5 years ago. This gives me a low confidence feeling about the accuracy of areas which I do not know as well and ultimately will the app be useful? There ought to be more regular checks on the existence and location of such places of interest.","en",96,NA
5689,"Eric Bright",2018-02-13,5," This is everything I ever wanted. Itís been a life-saver to me in countless number of occasions when most other competitors, even the big names, failed. For beginners, it has excellent off-line map with accurate information (at least in Canada). Its GUI is amongst the best in any similar app Iíve tr...Full ReviewThis is everything I ever wanted. Itís been a life-saver to me in countless number of occasions when most other competitors, even the big names, failed. For beginners, it has excellent off-line map with accurate information (at least in Canada). Its GUI is amongst the best in any similar app Iíve tried in this category. It gives you plenty of notices ahead of time before critical turns, whereas with the major competitors Iíve missed many turns almost every single time I drove a highway. All in all, this is one of the best offline maps in the market, hands down.","en",79,NA
5690,"Daniel Lemus",2018-02-19,5," I like this app. Has failed me very few times. Will still work even if network drops. Quite accurate, tells you speed. Roads you are on, speed limit, will warn you if you go past the limit. And overall its easy to use.  However I still haven't figured how to set it up so I can avoid toll roads.","en",10,NA
5691,"Francisco Navarrete",2018-02-24,3," I've been using this app since I had Lumia phones. The only problem is that about a month ago, it stopped to provide information about public transport!! I need a fix for this, although I presume that Here is not getting the data from Transantiago (my public transport operator), but if you could wor...Full ReviewI've been using this app since I had Lumia phones. The only problem is that about a month ago, it stopped to provide information about public transport!! I need a fix for this, although I presume that Here is not getting the data from Transantiago (my public transport operator), but if you could work on that, I will love you again.","en",2,NA
5692,"A Google user",2018-02-07,4," I really like this app as an alternative to google. It takes a few days to get used to it. My only problem right now is that the train navigation has stopped completely for DFW, Texas. It comes up with an error code saying ""Off The Tracks"". It could be an issue with DART not updating their routes, b...Full ReviewI really like this app as an alternative to google. It takes a few days to get used to it. My only problem right now is that the train navigation has stopped completely for DFW, Texas. It comes up with an error code saying ""Off The Tracks"". It could be an issue with DART not updating their routes, but, would be helpful if this was fixed. Other than that, this app is great. Thank you!","en",51,NA
5693,"Jeff Gordon",2018-02-27,3," It's ok. It has some speed limits which is nice, but I have found a number of roads missing. The maps themselves are not detailed and very plain. The big issue is there is no lane assist. On the plus side I can navigate without using data. It is great for travelling overseas where data plans are exp...Full ReviewIt's ok. It has some speed limits which is nice, but I have found a number of roads missing. The maps themselves are not detailed and very plain. The big issue is there is no lane assist. On the plus side I can navigate without using data. It is great for travelling overseas where data plans are expensive. It also works great on commercial airplanes where you have to go into airplane mode","en",4,NA
5694,"Tenzu108",2018-02-19,2," The app used to work very well. Only real downside was the estimated time of arrival. But for like a week now  every search I make says "" off the rails"". I've tried restarting my phone, tried different locations, wifi/ phone data, same result.","en",3,NA
5695,"A Google user",2018-02-20,1," This was a great application for offline navigation around the world. Unfortunately, it randomly and frequently wakes the end user's device and reads the clipboard! Why would this app be randomly reading a device's clipboard?! I don't see any legitimate reason and this behavior should be immediately...Full ReviewThis was a great application for offline navigation around the world. Unfortunately, it randomly and frequently wakes the end user's device and reads the clipboard! Why would this app be randomly reading a device's clipboard?! I don't see any legitimate reason and this behavior should be immediately removed...","en",7,NA
5696,"A Google user",2018-02-09,2," Didn't work well in Jerusalem, gave a ridiculous error that voice navigation is not available, yet you could see the route and navigate manually by draging the map. So the app was technically capable of navigating, yet crippled by an UI bug. Most frustrating when you rely on it as the single offline...Full ReviewDidn't work well in Jerusalem, gave a ridiculous error that voice navigation is not available, yet you could see the route and navigate manually by draging the map. So the app was technically capable of navigating, yet crippled by an UI bug. Most frustrating when you rely on it as the single offline navigation app,  believing that you downloaded the 'Israel' map, not 'random area of Israel with unclear borders' map.","en",12,NA
5697,"?ukasz Grzegorczyk",2018-02-01,2," Maps are OK, but the app needs to be redesigned - especially the navigation view. I need it to display time to destination, distance to destination, arrival time and traffic delay in portrait mode. Google Maps have no problem with that. Unless you redesign the app, I'll keep my rating.","en",58,NA
5698,"shadowik leon",2018-02-07,4," The app is quite awesome, however, it goes crazy in the rural urban areas sometimes ... I'd  appreciate it if that got fixed üòÅ and I'd like to be able to know when am near a speed radar... the iPhone version detects these radars quite well .. and Android users, like me, can benefit alot from such a...Full ReviewThe app is quite awesome, however, it goes crazy in the rural urban areas sometimes ... I'd  appreciate it if that got fixed üòÅ and I'd like to be able to know when am near a speed radar... the iPhone version detects these radars quite well .. and Android users, like me, can benefit alot from such a property ... thank you  ver","en",17,NA
5699,"A Google user",2018-02-01,2," App not bad, quite complete, nice offline maps but sticks to processor time and often keeps itself into background eating a lot of batter power for the sole purpose of commercial data exploitation and tracking. You track me and give me some 4 free? At least use more grace and develop an app that doe...Full ReviewApp not bad, quite complete, nice offline maps but sticks to processor time and often keeps itself into background eating a lot of batter power for the sole purpose of commercial data exploitation and tracking. You track me and give me some 4 free? At least use more grace and develop an app that doesn't drain my battery in 3 hours while I don't use it but it's still tracking me. Period","en",31,NA
5700,"A Google user",2018-06-12,1," After update it dosent show the exact location( green round logo of current 
location. ) google map show the exact green dot fot location but here maps 
now does not. Dont know why. I even uninstalled and reinstalled it again 
after restarting the device. But then after i got to a conclusion that 
u...Full ReviewAfter update it dosent show the exact location( green round logo of current 
location. ) google map show the exact green dot fot location but here maps 
now does not. Dont know why. I even uninstalled and reinstalled it again 
after restarting the device. But then after i got to a conclusion that 
update or the new app is not working properly. Its the app mistake not mine.","en",1,NA
5701,"Mat?j Mare?ek",2018-02-10,1," It stopped working for me. The map is is being rendered when I open the app after installation, and when I close it and want to launch it again, it won't even start","en",12,NA
5702,"Borhan Ahmed Al-Rubaie",2018-02-16,5," I love this I used it on international road trips many times it is far superior to Google maps. With more support I think this will be everyone's favourite. Google maps is bloated lately and requires a connection to be reliable this one is good online and offline","en",5,NA
5703,"David UK",2018-02-05,3," It looks like this app uses the ""openstreetmap""  - good for keeping cost down but that map isn't great for navigating by car.  I work on OSM a lot and the guys that originally built it didn't plan for it to be used as a satnav.  For example, it is common to be told to do a U turn on a dual carriagew...Full ReviewIt looks like this app uses the ""openstreetmap""  - good for keeping cost down but that map isn't great for navigating by car.  I work on OSM a lot and the guys that originally built it didn't plan for it to be used as a satnav.  For example, it is common to be told to do a U turn on a dual carriageway when the lanes merge into a single carriageway. Having said that, it's easily good enough to get you somewhere when offline but now Google maps offers offline navigation as long as you download the area in advance it has limited value.","en",7,NA
5704,"Danny Rios",2018-02-11,1," Has Turn by turn navigation but doesn't say the name of the streets like Google maps.  Just tells you the distance until the next turn. Also, getting it to be my default navigation is damn near impossible.  Tried everything but to no avail.  Doesn't show where I am.  Just shows a a line to the next ...Full ReviewHas Turn by turn navigation but doesn't say the name of the streets like Google maps.  Just tells you the distance until the next turn. Also, getting it to be my default navigation is damn near impossible.  Tried everything but to no avail.  Doesn't show where I am.  Just shows a a line to the next turn. Meh. Google maps is better.","en",5,NA
5705,"Izra-El King",2018-02-25,1," APP IS TOOOOOTALLY USELESS, WAS SOOOOO MUCH BETTER WHEN NOKIA HAD THEIR HANDS IN IT. IT COULDN'T EVEN FIND THE COUNTRY I WAS IN (GHANA) YET ALONE THE ADDRESS I ENTERED! SMH PATHETIC. QUITE DISAPPOINTED COS IT JSED TO BE SO GOOD. DEFINITELY PREFERRED IT THAN GOOGLE MAPS. & NOW IT HAS ADS TOO. SHAME.","en",1,NA
5706,"sashko02",2018-02-15,4," Great app but with one solid flaw hence the 4 stars. For some reason every time I update the maps the application stops working. This gets fixed by reinstalling it and of course you need to download all maps you need one more time.","en",4,NA
5707,"Kristian Liem",2018-02-26,5," Can even detect our location in the tunnel (estimate though), way better than Waze, maps are free and accurate. The only things I hope it can provide is the road/police alert and ETA share.","en",8,NA
5708,"Igor Bizic",2018-02-24,3," Does not work anymore (newly installed), crashes as soon as I choose a destination address. It used to work well and I think maps were more detailed than even on Google maps. 3 stars for past glory.","en",0,NA
5709,"Sam Masemola",2018-08-01,1," Used to love this app when it was still on Symbian, now it's just useless. 
1. The colour scheme is just off, I mean white on light grey, it's hard to 
see roads(you have to zoom in a lot to see the roads). 2. You cannot alter 
routes. When you put in a destination that's it, whatever route it is 
d...Full ReviewUsed to love this app when it was still on Symbian, now it's just useless. 
1. The colour scheme is just off, I mean white on light grey, it's hard to 
see roads(you have to zoom in a lot to see the roads). 2. You cannot alter 
routes. When you put in a destination that's it, whatever route it is 
displayed that's the route you'll have to take. You cannot drop pins to 
create a customised route(something that Sygic GPS Nav does well). 3. Maps 
are way too old. 4. No lane assistance. Think I'll stick to using Sygic GPS 
Nav or maybe tryout TomTom GPS Nav.","en",13,NA
5710,"Nik Sob",2018-02-26,3," It's good but I wish it showed some alternative routes instead of just showing the fastest or the most common routes. I was stuck in a bad traffic and tried rerouting but it kept showing the same way to go. Please fix that","en",1,NA
5711,"Temo Manheim",2018-01-25,5," in dubai they have changed the speed limit for some major roads.. however on the app still show the old speed limit.. when i use the app i  offline mode sometimes it mislead me and i keep going in circles","en",35,NA
5712,"Shannon Galvin",2018-02-22,5," Best quality maps with offline navigation, I wish my gps which uses here data was as up to date as the source. Would like to see android auto integration, that's the only thing this app is missing.","en",1,NA
5713,"Anil Chandran",2018-02-19,5," I always loved Nokia maps. Now while using google maps, I am struggling to find the location while travelling on second class as internet will not be there in many locations. This is too good for India","en",1,NA
5714,"A Google user",2018-03-01,5," Great app, responsive, reliable wayfinding. It's good to have in the pocket. Alternative routing (re-routing) is messy though. BUT! Always use your brains!","en",0,NA
5715,"Faze Bock",2018-01-30,1," Seriously, what's the deal with China? When the app was first released it had China maps, and now it doesn't even let me use it with the informative explanation ""SORRY, BECAUSE YOU HAVE A CHINESE SIM CARD YOU CAN'T USE THIS APP""?","en",17,NA
5716,"sachelle babbar",2018-02-25,1," Been using this since the Nokia days, but as time goes on, they make the app worse.  Particularly since it was bought by Germanyës automakers.  First, I used to use it to bike and walk around cities and the navigation instructions would come over my headphones or Bluetooth.  Post buyout they removed...Full ReviewBeen using this since the Nokia days, but as time goes on, they make the app worse.  Particularly since it was bought by Germanyës automakers.  First, I used to use it to bike and walk around cities and the navigation instructions would come over my headphones or Bluetooth.  Post buyout they removed that and had the nerve to lie and claim the app never had it.  I've navigated in many countries using that feature.  Plus autoupdates of location are gone.  Such nonsense and more proof of why people hate Germanyës automakers so much.  Meanwhile, google has offline maps now, maps.me works properly for city cycling. Why have this?  Even for driving the others work better.  Not to mention, Here doesn't have proper maps for Iceland.","en",1,NA
5717,"mkg g",2018-02-09,3," Sometimes the app does not send you on the most direct/ efficient route. This app can take you down roads that are out of the way. When there are better. More direct routes. Other than that this app is great where connectivity is a issue. Have been using it for years.","en",3,NA
5718,"Gerald A.",2018-02-19,1," Whats going on with this app.. have a stable internet connection. Always stuck at 2%. Then error no connection.. this is getting ridiculous..","en",1,NA
5719,"Lusiano Vaifale",2018-02-20,5," Accurate and helpful GPS app. Being using this app on other phones. Wouldn't use any thing else. Great offline maps you download in settings, no ads, no worries :)","en",2,NA
5720,"Fang",2018-02-26,5," This app is superior in it's offline maps. Speed is fast, and search is even available offline, unlike Google Maps. The most important thing I wish to see being added is the lane guide. It was very useful when navigating on roads with multiple lanes, also reducing the danger of the driver changing l...Full ReviewThis app is superior in it's offline maps. Speed is fast, and search is even available offline, unlike Google Maps. The most important thing I wish to see being added is the lane guide. It was very useful when navigating on roads with multiple lanes, also reducing the danger of the driver changing lanes suddenly    A few catch was, first, the accuracy of maps can still be improved; and second, the public transit information is incomplete; and third, ride hailing listing aren't available yet, at least in Malaysia.","en",0,NA
5721,"Terry Stephens",2018-02-12,4," Good sat nav that does everything you expect. Even offline. The only negative I found so far is that you can't rename your collections so you can remember them more easily developers can this be done","en",1,NA
5722,"Mike Hillyard",2018-02-17,2," App crashed while in use and now crashes everytime I try to open it. Cache clearance and trying reinstall but this is very odd, any ideas for a fix?","en",16,"Hello Mike,
Sorry about that! We investigated this issue and have developed a fix. HERE Maps should work great your phone with the latest update, so check it out and let us know if you have any feedback. 
Thanks from the HERE team in Berlin!"
5723,"Deepak Chauhan",2018-02-11,5," This is the best maps evet they are from nokia they have the old street view and have best navigation... They are not like Google maps... Thosr afe rubbish most times and will get you to a mess ...","en",3,NA
5724,"Dimitri Dobrenko",2018-02-08,4," Premium offline maps,- both Navigon and iGO use Here's maps. And it's free. On a negative side it neither has it own, nor supports external POI (like kml or gpx) Strangely enough, it does support navigation by picture, providing the picture has GPS data.","en",5,NA
5725,"David Mundy",2018-02-02,5," Downloaded this before driving from NC to Miami. App worked great. Got us here, rerouted if needed. All offline. I'm going to download a map of each place that I go from now on. ","en",4,NA
5726,"Gerry Malone",2018-02-06,3," Worked great offline then wouldn't find places unless I made online now just refuses to start 3 stars till its working would be less if it wasn't so good to start with","en",7,NA
5727,"jmz ARTS",2018-02-02,1," FFS.....  no,     FOR F*CKS SAKE!!!!  THIS IS DREADFUL!  Worked once, so I downloaded loads of offline maps....          hasn't worked again.  UTTER SHITE  DO NOT EVEN WASTE YOUR TIME.","en",6,NA
5728,"Jamie Mikolaj",2018-01-30,3," After the update it now opens, although it's still not the 5* I'd normally give it. I have a memory card installed, but I can't save maps to external card.","en",10,NA
5729,"Fox McCloud",2018-02-02,5," I love this app but since some weeks it won't start on my nexus 6p with android 8.1. Maybe it is not compatible with the newest android version :(","en",12,NA
5730,"David Niquot",2018-02-21,5," Since Google is forcing me to accept their ""improve accuracy"" requirement, I've uninstalled MAPS and switched to your very nice application that serve more the user then the company behind it. Thanks.","en",3,NA
5731,"Nguyen Lam",2018-02-19,2," Since here changes to here we go, when I set app to offline, the map only show a part where I stand so its pretty useless now. And yes, I did download the data for offline","en",5,NA
5732,"Jan Nielsen",2018-02-05,2," A recent update cause problems on cyanogen devices. Possibly it uses 100% CPU, causing to be totally unresponsive. Even after restart. Had to factory reset, and not restore app...","en",2,NA
5733,"Bobo Boy",2018-01-30,2," This app can't locate my position even though I already turn on GPS. It only worked properly if I set this map from my home to my destination and then started my journey from my house. If I already arrive at unknown city but need to use map, it can't locate my position.","en",9,NA
5734,"jack07mc",2018-02-27,5," For the lastest version all is good , changed my rating , all the respect . For older vers : The app is very good did lots of km with it , but now I can't download any maps ,and also can't update my current offline maps","en",2,NA
5735,"Janindu Perera",2018-02-27,1," Previous HERE versions supported offline navigations to Sri Lanka... But now newer versions not supporting!!! & the app getting force-close sometimes","en",1,NA
5736,"Constantine Sigalas",2018-02-05,1," After 2 re-tries to install, error opening, ""make sure memory card is in the device and try again""....Lenovo k5, Android 5.1","en",7,NA
5737,"John Lobo",2018-02-10,3," I have trouble with getting correct direction as it always seems to have a conflict with adjusting the compass even after I did the 8 compass calibration. Please advise. Thanks.","en",2,NA
5738,"Akhil Srinivasan",2018-02-07,4," loved the map , also cops caught me and my friends for driving on free ways were 4 wheelers are only allowed üòù , please i suggest you to make a seperate route guidance for bi","en",4,NA
5739,"Apurva Anilkumar",2018-02-27,5," Simply the best navigation system... Beats gmaps hands down...  Had this experience many times where gmaps failed to give a proper step by step navigation.. but Here maps... You can't trust it's voice guidance with closed eyes...","en",0,NA
5740,"Hunter Ranger",2018-02-01,5," An excellent App. Could I please request the addition of a Motorhome or Truck option where the dimensions and weight/height of your vehicle can be added to modify the route appropriately.","en",6,NA
5741,"Arvind Shetty",2019-01-23,1," Absolutely useless. Doesn't even recognise popular places when you search for one. Worked well couple of years ago. Back to google maps.","en",0,NA
5742,"Bill Keane",2018-02-16,5," There's been a lot of re-addressing in my area and Google maps just can't find many places with any accuracy. This app brings me right to the door of the address I'm looking for, and I can't ask for anything better than that!","en",0,NA
5743,"Jimmy Jewell",2018-01-31,3," Good app. Works offline. Needs updated. Is I 66 in Virginia a toll road or not. If so, why does it take me out that way?","en",8,NA
5744,"akshay aggar",2018-02-03,1," Keep shutting down LG phone android ver 7.After new update .now application won't open","en",20,NA
5745,"A Google user",2018-02-12,1," what's wrong with your product? Just because I'm using a Chinese SIM card, you block me from using this app?? Such ridiculous concept.","en",1,NA
5746,"Ahmed Elhenawy",2018-02-16,5," The new version don't allow to move to external card and the offline maps big size :(","en",2,NA
5747,"panagiotis chantavaridis",2018-02-09,2," If you load a couple of countries and try a Cross boarder Trip the application is crushing in regular Base.","en",2,"Hello ,
Our developers are currently investigating this issue so we can provide a solution. Additional information always makes this easier, so if you can, please contact appsupport@here.com so we can help. Thank you."
5748,"Chris Hammond",2018-01-29,5," Great free satnav app with offline maps. Downside is can't find how to plan a trip via somewhere - used to be possible.","en",7,NA
5749,"Ajay Sharma",2018-02-07,5," It's takes too much time to find the GPS Signal of Phone.. the phone is having good configuration, still lot of time it stays on ""WAITING FOT GPS"". Any Solutions???","en",1,NA
5750,"Jojo Lopez",2018-02-15,1," In my FB account, my location is Glostrup far from my place now which is Australia. Contact facebook and advice me to contact HERE map, who is the real one?","en",5,NA
5751,"Michal Cupa",2018-02-20,1," I have downloaded map of Georgia, knowing I would need offline navigation. Once there, the app was saying that no voice guidance provided. In reality, this was not providing any navigation. Just showing my position on the map. No use.","en",0,NA
5752,"A Google user",2018-02-26,1," This program find biggest traffic and navigate in there. Many times complicate the route.","en",2,NA
5753,"A Google user",2018-02-18,3," you guys should update road closures, for example some roads in mountains are closed in winter. In Stowe VT RT 108 is closed between Rt15 and Rt100. Cheers","en",0,NA
5754,"Heather M Marquard",2018-02-10,1," Tried to find two cities outside the US - one small in a European country, another a country capital in Asia - as soon as I downloaded and the app came back with error messages on both. Uninstalled. Couldn't even get to city level non-US map, so not useful for what I need.","en",0,NA
5755,"Mario Medina",2018-02-10,5," Way, way better than most apps of this kind that I previously used. So easy to get around places now.","en",2,NA
5756,"Mustafa Ba Haj",2018-02-11,5," I love that i can use it completely offline, thanks a lot for this great app, thanks to you I dont have to pay a lot on data.","en",3,NA
5757,"tanveer hussain",2018-02-20,5," The application over all is very good especially offline option. But I have a request can you up load map of Pakistan.","en",1,NA
5758,"Aaron Humboldt",2018-06-08,2," On 150 km track by wrong road categorization it prolonged my way by 30 mins 
by car. Cannot rely on this navi.","en",0,NA
5759,"sahil kumar",2018-02-02,5," Just a little short on details but does the job and is very reliable, way better than dumb google maps","en",6,NA
5760,"David Newman",2018-02-25,3," okay it is offline and it looks work offline but if 6ou have to change destination you must go online. so is it offline - not the way it should.","en",1,NA
5761,"D Wynne",2018-01-30,4," Used to be great.all of a sudden constantly crashing on sgs7 nougat.can't even load a location.crashes immediately.","en",6,NA
